pgpid,type,tags,description
563,Legal document,"register, Mamluk, 13th c, Cairo",Fragment of a court record. Location: New Cairo. Dating: during the period of the Nagid David I Maimonides (ca. 1237–1300); less likely David II but also possible. Involves Moshe b. ʿAmram. Reused on verso for piyyuṭ drafting/composition.
564,Letter,,Note from Eli Ha-Kohen b. Ezekiel to Avraham Ha-Kohen b. Yiṣḥaq b. Furat.
565,Legal document,"teacher, Guide for the Perplexed, sale, medical books, book trade","Records of book sales, in the hand of Shelomo b. Eliyyahu. Dated: Monday, 16 Tammuz 1540 Seleucid = 9 July 1229 CE. ""To increase their meager income teachers got involved in book selling. In this sales contract the teacher Shelomo b. Eliyyahu the judge (dayyan) sells books."" Shelomo served as the broker in two of the sales and the buyer in one of them. The seller is a certain Abū l-Bayān in all three sales. 

(1) Abū l-Bayān sold The Small Art [of Medicine, by Galen] to Faḍl Allāh b. Abī l-Faraj the teacher. The price was 11 dirhams, of which Shelomo got 1 dirham as commission. 

(2) Abū l-Bayān sold Shelomo a copy of Bava Qamma for 7 dirhams. 

(3) Abū l-Bayān sold a copy of the Guide [for the Perplexed] to al-Mawlā al-Raṣuy for 32 dirhams, of which Shelomo got 2 dirhams as commission. The last sale is dated: Monday, 17 Tammuz 1540 Seleucid, which is 1229 CE. The first two sales happened earlier in Tammuz."
566,Letter,Ramla,Letter from Avraham ha-Ḥaver b. Amram from Jerusalem to an Andalusian merchant staying in Ramla. Ca. 1050.
567,Letter,"Nahray B. Nissim, merchant","Letter from Salmān b. Dawud al-Barqi, probably from Tripoli, Libya, to Nahray b. Nissim, Fustat. Mentions beads and ships, but most of the letter is not clear. Around mid-eleventh century. (Information from Gil, Kingdom, vol. 4, pp. 517-519, #769). VMR"
568,Letter,"Arabic script, illness letter 969-1517, communal, divorce, illness: akhlaq, abusive marriage, Masliah Gaon, irreligion, Petition, Women's letters, Illness","<b>Recto:</b> Petition to Masliah Gaon from a woman wishing to have a divorce. Probably 1127 CE. Discussed in detail, with translation, in Oded Zinger's dissertation, pp. 201–02: 'Malīḥa bt. Abū al-Faḍl wanted a divorce. She claimed that her husband suffered from many illnesses and that his children from a previous marriage were irreligious. Malīḥa feared for the well-being of her children were she to die. We have a resolute petition written on her behalf to the head of the Jews, Maṣliaḥ ha-Kohen, informing him of the following: ""I am the wife of Adam, the money changer. For the past eight months, I have asked repeatedly for divorce, but could not obtain it. I had thought that with the arrival of your most venerable presence, you would not postpone giving a ruling to me or to another (on my behalf) a single hour. He is a man afflicted with many illnesses and sicknesses. He has children far removed from religion and others. The servant fears lest what is sealed upon people (i.e. death) overtake him, or me. There is no assurance what will happen with him and with my children.1 By the divine law that you possess! Examine my state and quickly issue a verdict, whatever it may be.2 The servant appointed a representative, but from all that was done to the man; he said that he would not return to mediate between us. The servant is bashful, I do not have a tongue to speak with. By your parents! Examine my state and please liberate me.3 .... All that I want is the liberation of the servant, by any means necessary. And what the divine law obligates.""4 We hear of Malīḥaʼs ultimate success in her bid for divorce in another document, T-S 8J5.4 2v. A four-line entry in a page from a court notebook records that on 28 June 1127, Malīḥa appointed Nathan ha-Levi b. Abraham as her representative to sue her husband. This short entry is followed by another entry recording an unrelated appointment of a representative. The next entry in the court notebook, however, records that on the very same day, a cantor who was one of the witnesses of the first appointment came to the court with two parnasim from the community. The three men declared to the court that they had made the symbolic purchase from Malīḥa confirming that she relinquished the entirety of her meʿuḥar and was willing to take an oath over her claims regarding the dowry. Her husband also made the symbolic purchase confirming that he had no claim over her. It appears that Malīḥa got her divorce.'5 <b>Margins of recto, and verso:</b> Copious jottings in Hebrew and Arabic script. It is unclear how much, if any, pertains to the main letter on recto. Shelomo ha-Levi b. Moshe is named. Many of the Arabic writings appear to be formulaic phrases from a letter to a dignitary (titled in one place Imam and Amir), probably scribal practice."
569,Letter,"India, IB7, family, Aden",Letter from a mother in Aden to her son in Egypt.
570,Letter,,"Letter from Musa b. Abu'l-Hayy to Evyatar ha-Kohen Gaon, ca. December 1094."
571,Letter,,Letter from Daniel b. Yiṣḥaq he-Hazzan from Jerusalem to Eli b. Sadaqa. Probably ca. 1060.
572,List or table,genealogy,Genealogical list at beginning of letter from Masliah Ha-Kohen Gaon ca. 1120.
573,Letter,"captives, Women's letters","Petition from Dalāl bt. Masʿūd/Seʿadya (Umm Ibrāhīm), in Bilbays, to the dignitary Abū l-Barakāt Yehuda b. Elʿazar ha-Kohen (titled ""ha-Sar"" and ""Sofer ha-Malkhut,"" i.e., a government secretary/kātib). When the Frankish king Amalric captured the city of Bilbays in eastern Egypt in November 1168, he took many captives, including Jews. Some participated in finding the means to redeem themselves. This petitioner was one of them, a widow who paid the ransom fees or part of them in installments, one dinar at a time. Abū l-Barakāt had previously helped her and suggested that she leave a dinar with him until she needed it, since ransom fees weren't always paid promptly. When the time came to pay̦, the son of the widow's mother, who was a guarantor on her behalf, had been detained by the police or put under house arrest, so Dalāl asks the minister to do the favor he had promised. (Information from Goitein, Palestinian Jewry, 319–20)"
574,Letter,,"Letter from Natan ha-Kohen ha-Mumḥe b. Mevorakh (a.k.a. Wahb b. Barakāt), in Ashqelon, to the parnas ʿEli b. Ḥayyim ha-Kohen (a.k.a. Abū l-Ḥasan ʿAllūn b. Yaʿīsh), in Fustat. In Hebrew, with the address in Arabic. Gil describes this as a draft but does not explain why he thinks so. He also notes that this is not the handwriting of the well-known Natan b. Mevorakh ha-Kohen who sent letters from Ashqelon during the period ca. 1090–1140 CE. He suggests that the sender of this letter is the grandfather of the well-known Natan b. Mevorakh and that this letter was likely written around 1075 CE (he understands the vague reference to distressing times in ll. 8–9 to be a reference to the Seljuks in Palestine)."
575,Letter,"Nahray B. Nissim, trade",Letter from Nahray b. Nissim to Ayyash b. Sadaqa in Busir. Probably ca. 1050.
576,Legal document,"India, IB1, engagement","The engagement contract of Abu Mansur, Semah b. Yefet, to Sitt al-Khassa in Fustat, 1146. Sitt al-Khassa was the daughter of Abu Barakat, son of Yosef Lebdi, the India trader. The groom deposited the very large early marriage gift of 40 dinars with a third party and promised the delayed marriage gift of 100 dinars. The bride received five shares (out of twenty four) of the house that used to belong to her grandfather, and half of her father's house. Moreover, 'the rent from her real estate will be in her hands, not in his hands, and she may deal with it as she sees fit.' She also is promised the right to choose the domicile. Her very large dowry amounts to 500 dinars (actually it adds up to 496 dinars), and it is stated that this sum was not exaggerated. The document begins with Bodl. MS Heb d 66 48r then continues to Bodl. MS d 66 47r and then to the latter's verso. Previous description: Engagement of Sitt al-Khāṣa bt. Abū l-Barakāt al-Lebdī and Ṣemaḥ al-ʿAṭṭār. In the hand of Natan b. Shemuel ha-Ḥaver. 11 November 1146. Information from Goitein's note card."
577,Legal document,"ketubba, Marriage, Qaraite","Formulary for a marriage contract, Qaraite/interdenominational. Dated: 1036 CE, at the time of Ṣemaḥ Nasi. One sheet is possibly missing in between, and with it the details about the tosefet and the nedunya. Information in part from Goitein's index card"
578,Letter,"illness letter 969-1517, illness: eye, Byzantine merchants, brazilwood, ambergris, Illness","Letter from Yehuda b. Moshe ibn Sighmār, in Alexandria, to ʿEli ha-Kohen b. Yaḥyā (aka Ḥayyim) the parnas, in Fustat. Yehuda explains the problems he has been having collecting monies owed him by a 'partner,' Abū Isḥāq Avraham b. Faraj al-Raḥbī, having to do with the sale of a valuable piece of ambergris. He has heard that Abū Isḥāq is now in Fustat, but he cannot come in person due to an eye disease (recto, margin, ll. 1–2). He requests that ʿEli represent him in litigation against that person. He has enclosed a power of attorney with his letter.  Ed. Cohen, Journal of the Economic and Social History of the Orient, 56 (2013), pp. 218–63. Also published by Moshe Gil, Kingdom, IV, #622 (pp. 58–66). See also the power of attorney dated 1085 CE, Bodl. MS heb. c 28/11, published in both publications. See also Goitein's note card #27115. ASE."
579,Letter,,"Letter from the judge Eliyyahu, in the Sinai desert, to his son the physician Abū Zikri, in Jerusalem. Eliyyahu admonishes him to live in peace with his younger brother and to attend to various other matters. (Information from Goitein's index card) EMS and VMR"
580,Letter,"Nahray B. Nissim, illness letter 969-1517, illness: eye, trade, mail-order medicine, Illness, Illness: women's, Illness: treatment","Letter from Yosef b. Yeshuʿa, in Tripoli (Syria), to Nahray b. Nissim. The letter mentions Nahray's pilgrimage to Jerusalem and shipments of emblic myrobalan and frankincense. A certain old woman has gone blind in one eye, and the other eye is in danger, so Yosef asks Nahray to send him tutty (zinc oxide) or whatever else might be beneficial. "
581,Letter,,"Letter from Natan b. Avraham to Perahya b. Muʾammal, spring 1039."
582,Legal document,register,"Court ledger. Containing multiple legal records/testimonies. Location: Probably Alexandria, since Goitein identifies the handwriting as belonging to the teacher Yehuda b. Aharon Ibn al-ʿAmmānī. One of the entries is dated: Thursday, 6 Adar [4800 +] 196 = 4996 AM = 14 February 1236 CE. (Ashtor believed this document to be from Cairo and the date to be [5]196 AM= 1436 CE.) (Information mainly from Goitein's index card.)"
583,Letter,,Short letter from David b. Daniel.
584,Letter,"Nahray B. Nissim, trade",Letter from Natan b. Nahray from Alexandria to Nahray b. Nissim in Fustat.
585,Letter,"communal, 11th c","Record of a deposition in court, written in the hand of the scribe Hillel b. Eli, ca. 1095. The record states that Perahya b. Ya'aqov appeared in court and dedicated his compound to the two synagogues, of the Palestinians and the Babylonians. The rent of the compound is to be spent on oil for the two synagogues, in equal parts. Since there were too many errors in this document, the scribe probably decided to write it again, and that is perhaps the reason why the document is unsigned. (Information from Gil, Documents, pp. 217 #34)"
